beat,TRACTCE10,GEOID10
99,025302,53033025302
99,026300,53033026300
99,026400,53033026400
99,010900,53033010900
99,026100,53033026100
99,026001,53033026001
99,011900,53033011900
99,011700,53033011700
99,026700,53033026700
99,012100,53033012100
99,026600,53033026600
99,012000,53033012000
99,011402,53033011402
99,027000,53033027000
99,026801,53033026801
99,026500,53033026500
99,011300,53033011300
99,011200,53033011200
99,990100,53033990100
99,000500,53033000500
99,020900,53033020900
99,020800,53033020800
99,000300,53033000300
99,000401,53033000401
99,021000,53033021000
99,000200,53033000200
99,021100,53033021100
99,000100,53033000100
99,021300,53033021300
99,022101,53033022101
B1,005801,53033005801
B1,005700,53033005700
B1,004700,53033004700
B1,003200,53033003200
B1,003300,53033003300
B2,006000,53033006000
B2,005400,53033005400
B2,004900,53033004900
B2,005900,53033005900
B2,004800,53033004800
B2,004700,53033004700
B2,003400,53033003400
B2,003300,53033003300
B2,003500,53033003500
B3,006600,53033006600
B3,006000,53033006000
B3,005400,53033005400
B3,004900,53033004900
B3,005100,53033005100
B3,005000,53033005000
B3,006100,53033006100
B3,005200,53033005200
B3,003500,53033003500
B3,004600,53033004600
B3,003600,53033003600
B3,004500,53033004500
C1,007900,53033007900
C1,007500,53033007500
C1,007300,53033007300
C1,007401,53033007401
C1,006600,53033006600
C1,007600,53033007600
C1,006400,53033006400
C1,006500,53033006500
C1,006200,53033006200
C1,006100,53033006100
C1,005302,53033005302
C1,005200,53033005200
E3,008500,53033008500
E3,008200,53033008200
E3,008300,53033008300
E3,008400,53033008400
E3,008600,53033008600
E3,007500,53033007500
C2,006300,53033006300
C2,007900,53033007900
C2,007700,53033007700
C2,007600,53033007600
C2,006400,53033006400
C2,006500,53033006500
C2,006200,53033006200
C2,006100,53033006100
C2,005302,53033005302
C3,007800,53033007800
C3,006300,53033006300
C3,008700,53033008700
C3,008800,53033008800
C3,008600,53033008600
C3,007900,53033007900
C3,007500,53033007500
C3,007700,53033007700
C3,007600,53033007600
C3,006200,53033006200
D1,990100,53033990100
D1,008100,53033008100
D1,008002,53033008002
D1,007200,53033007200
D1,008001,53033008001
D1,007100,53033007100
D2,008300,53033008300
D2,007200,53033007200
D2,007300,53033007300
D2,006600,53033006600
D2,006700,53033006700
D2,006000,53033006000
D2,005400,53033005400
D2,004900,53033004900
D3,008300,53033008300
D3,007200,53033007200
D3,007300,53033007300
D3,006600,53033006600
D3,006700,53033006700
D3,005400,53033005400
D3,006100,53033006100
D3,005200,53033005200
E1,008300,53033008300
E1,008400,53033008400
E1,007402,53033007402
E1,007500,53033007500
E1,007300,53033007300
E1,007401,53033007401
E1,006600,53033006600
E1,006500,53033006500
E2,008500,53033008500
E2,008400,53033008400
E2,007402,53033007402
E2,008700,53033008700
E2,008600,53033008600
E2,007900,53033007900
E2,007500,53033007500
F1,010900,53033010900
F1,011500,53033011500
F1,011401,53033011401
F1,011300,53033011300
F1,011200,53033011200
F1,010701,53033010701
F1,010702,53033010702
F1,010600,53033010600
